,material,perm,a,b,c,roll-off (%),roll-off (μ)
0,MPP,14,0.01,4.357346114428544e-09,2.3845886146755886,0.995119751532533,13.931676521455461
1,MPP,26,0.01,1.0896677651864416e-08,2.5051162652390424,0.9807265514463481,25.49889033760505
2,MPP,60,0.01,1.1652679425458997e-07,2.4359649995511266,0.8618121452431846,51.708728714591075
3,MPP,125,0.01,4.0608312342739117e-07,2.51757308069497,0.5653082418647803,70.66353023309755
4,MPP,147,0.01,9.117511035000167e-07,2.4297727699154854,0.4495229484337619,66.079873419763
5,MPP,160,0.01,9.524580747863388e-07,2.4772252516933335,0.39366970976291343,62.98715356206615
6,MPP,173,0.01,8.078101470681603e-07,2.5633835280555033,0.3533727070786488,61.133478324606244
7,MPP,200,0.01,1.4962206702048759e-06,2.4772252516933335,Out of Range,Out of Range
8,MPP,300,0.01,4.91259298806306e-06,2.4297727699154854,Out of Range,Out of Range
9,MPP,550,0.01,0.0005597119739173917,1.7095112913514543,Out of Range,Out of Range
10,High Flux,14,0.01,3.389412378818108e-08,1.9229137421004299,0.993771496453404,13.912800950347656
11,High Flux,26,0.01,4.204656612471312e-09,2.4259231172557656,0.9944678760602984,25.85616477756776
12,High Flux,40,0.01,1.8410663125389004e-08,2.409420839653209,0.9776746879829277,39.10698751931711
13,High Flux,60,0.01,6.412573254190358e-08,2.2905047710416975,0.9524267496757195,57.14560498054317
14,High Flux,125,0.01,1.402709576156965e-07,2.465366663033853,0.8219987914172658,102.74984892715823
15,High Flux,147,0.01,1.2070273621681354e-06,2.1308343922747586,0.6651448079016548,97.77628676154325
16,High Flux,160,0.01,1.7037297726250924e-06,2.0944335903463975,0.618703330065444,98.99253281047103
18,High Flux Special,60,0.01,1.5740617426774838e-07,2.1659585175103904,0.9299542336134908,55.79725401680945
19,High Flux Special,125,0.01,9.007780693848745e-07,2.1079820627935018,0.7442853677023983,93.03567096279978
20,Edge,26,0.01,3.645565526444335e-11,3.1921264058492484,0.999034677374122,25.974901611727173
21,Edge,60,0.01,9.202377733718708e-10,3.0436198518257798,0.9865403507695315,59.19242104617189
22,Kool Mµ Hƒ,26,0.01,3.5556495804772707e-08,2.212916454292226,0.9799641478331412,25.47906784366167
23,Kool Mµ Hƒ,60,0.01,4.0643787278589246e-07,2.1308343922747586,0.8550525176141985,51.30315105685191
24,Kool Mµ,14,0.01,4.938271604938272e-08,2.0,0.9878048780487805,13.829268292682926
25,Kool Mµ,26,0.01,5.26621387588576e-07,1.818949624018169,0.939108705076275,24.41682633198315
26,Kool Mµ,40,0.01,2.1772688446718944e-06,1.7039155851053662,0.8540233846570354,34.160935386281416
27,Kool Mµ,60,0.01,2.1417191961868097e-06,1.8552832463136577,0.766887824648751,46.01326947892506
28,Kool Mµ,75,0.01,3.884704779720846e-06,1.818949624018169,0.6764534432683635,50.734008245127264
29,Kool Mµ,90,0.01,5.829515369673348e-06,1.818949624018169,0.5821568346534953,52.39411511881458
30,Kool Mµ,125,0.01,2.2087355769163584e-05,1.636135798202503,0.42916326615249295,53.64540826906162
