,material,perm,a,b,c,d,e,δµ/µi(%),δµ
0,MPP,14.0,0.0,-0.00232,0.000763,-0.000507,3.17e-05,-0.0010306437500000002,-0.014429012500000003
1,MPP,26.0,0.0,-0.0156,0.00519,-0.00116,6.23e-05,-0.00664360625,-0.1727337625
2,MPP,60.0,0.0,-0.0182,0.00432,-0.000978,5.36e-05,-0.008138900000000003,-0.21161140000000006
3,MPP,125.0,0.0,-0.0843,0.0159,-0.00227,0.000108,-0.038452,-0.999752
4,MPP,147.0,0.0,-0.111,0.0204,-0.00281,0.00013,-0.050743125,-1.31932125
5,MPP,160.0,0.0,-0.129,0.0239,-0.00308,0.000141,-0.05890118750000001,-1.5314308750000003
6,MPP,173.0,0.0,-0.129,0.0239,-0.00308,0.000141,-0.05890118750000001,-1.5314308750000003
7,MPP,200.0,0.0,-0.161,0.0382,-0.00517,0.000216,-0.07158275,-1.8611515
8,MPP,300.0,0.0,-0.259,0.0557,-0.00653,0.000278,-0.11637387500000002,-3.0257207500000005
9,MPP,550.0,0.0,-0.459,-3.3,8.14,-5.73,-0.39512499999999995,-10.273249999999999
10,High Flux,14.0,0.0,-0.0107,0.000596,-0.000492,3.07e-05,-0.00526058125,-0.13677511250000002
11,High Flux,26.0,0.0,-0.0256,0.00343,-0.000734,3.99e-05,-0.01203175625,-0.3128256625
12,High Flux,60.0,0.0,-0.0387,0.00305,-0.000549,2.69e-05,-0.01865444375,-0.4850155375
13,High Flux,125.0,0.0,-0.086,0.0114,-0.00137,6.05e-05,-0.040317468749999995,-1.0482541874999998
14,High Flux,147.0,0.0,-0.0817,0.00733,-0.00064,2.39e-05,-0.039096006249999996,-1.0164961625
15,High Flux,160.0,0.0,-0.0859,0.00722,-0.000553,1.88e-05,-0.041212950000000005,-1.0715367000000002
16,Edge,26.0,0.0,-0.0044838512727272736,0.00031749072727272725,-1.3786996363636365e-05,0.0,-0.0021642763290909096,-0.05627118455636365
17,Edge,60.0,0.0,-0.010347349090909093,0.000732670909090909,-3.181614545454546e-05,0.0,-0.004994483836363638,-0.1298565797454546
18,Kool Mµ Hƒ,26.0,0.0,-0.004371,0.0003095,-1.344e-05,0.0,-0.0021098049999999998,-0.054854929999999996
19,Kool Mµ Hƒ,60.0,0.0,-0.0091791,0.0006499499999999999,-2.8224e-05,0.0,-0.0044305905000000005,-0.11519535300000001
20,Kool Mµ,14.0,0.00019109999999999998,-0.004298,-5.0020000000000006e-05,1.373e-05,-6.261e-07,-0.0019687278812499996,-0.05118692491249999
21,Kool Mµ,26.0,0.00035499999999999996,-0.007982,-9.29e-05,2.5509999999999998e-05,-1.163e-06,-0.0036561089375,-0.095058832375
22,Kool Mµ,40.0,0.0005461,-0.01228,-0.0001429,3.9240000000000004e-05,-1.7890000000000002e-06,-0.0056248318125,-0.146245627125
23,Kool Mµ,60.0,0.0008191,-0.018420000000000002,-0.0002144,5.8859999999999995e-05,-2.683e-06,-0.008437310187500002,-0.21937006487500005
24,Kool Mµ,75.0,0.001024,-0.02303,-0.000268,7.358e-05,-3.3540000000000004e-06,-0.010549012124999998,-0.27427431524999996
25,Kool Mµ,90.0,0.001229,-0.027631000000000003,-0.0003216,8.829e-05,-4.0250000000000004e-06,-0.012656115312499999,-0.32905899812499995
26,Kool Mµ,125.0,0.001707,-0.038376,-0.00044659999999999996,0.0001226,-5.590000000000001e-06,-0.017577674375,-0.45701953375000004
27,XFlux ,19.0,0.00044540000000000004,-0.007911,-0.003405,0.000429,-1.724e-05,-0.0043088025,-0.112028865
28,XFlux ,26.0,0.0006651999999999999,-0.01222,-0.0026019999999999997,0.00034470000000000003,-1.399e-05,-0.006053086875,-0.15738025875
29,XFlux ,40.0,0.001419,-0.02699,0.0001514,5.563e-05,-2.844e-06,-0.012031374,-0.31281572399999996
30,XFlux ,60.0,0.001419,-0.02699,0.0001514,5.563e-05,-2.844e-06,-0.012031374,-0.31281572399999996
31,XFlux ,75.0,0.00244,-0.04699,0.00388,-0.0003358,1.225e-05,-0.020126209375,-0.52328144375
32,XFlux ,90.0,0.00244,-0.04699,0.00388,-0.0003358,1.225e-05,-0.020126209375,-0.52328144375
33,XFlux ,125.0,0.003775,-0.07315,0.008754999999999999,-0.0008477,3.199e-05,-0.030715213125000005,-0.7985955412500001
34,Kool Mµ MAX,14.0,8.464621302394973e-05,-0.001903532223051098,-2.2156205679813e-05,6.082622510791945e-06,-2.772625925323614e-07,-0.0008719159510197368,-0.02266981472651316
35,Kool Mµ MAX,19.0,0.00011487700338964606,-0.0025833651598550617,-3.0069136279746216e-05,8.25498769321764e-06,-3.7628494700820476e-07,-0.001183314504955357,-0.03076617712883928
36,Kool Mµ MAX,26.0,0.00015720010990162095,-0.003535131271380611,-4.114723911965271e-05,1.1296298948613612e-05,-5.149162432743854e-07,-0.001619272480465226,-0.042101084492095875
37,Kool Mµ MAX,40.0,0.0002418463229255707,-0.005438663494431709,-6.33034447994657e-05,1.737892145940556e-05,-7.921788358067468e-07,-0.002491188431484962,-0.06477089921860901
