,material,perm,a,b,c,d,e,δµ/µi(%),δµ
0,MPP,14.0,-0.0013,4.75e-05,1.3e-07,0.0,0.0,0.0014,0.0196
1,MPP,26.0,-0.001431,5.265e-05,1.837e-07,0.0,0.0,0.00166075,0.043179499999999996
2,MPP,60.0,-0.001604,5.945e-05,1.875e-07,0.0,0.0,0.00183725,0.110235
3,MPP,125.0,-0.001939,7.013e-05,2.967e-07,0.0,0.0,0.0023092499999999997,0.28865624999999995
4,MPP,147.0,-0.002308,8.497e-05,2.943e-07,0.0,0.0,0.0026762499999999994,0.3934087499999999
5,MPP,160.0,-0.002308,8.497e-05,2.943e-07,0.0,0.0,0.0026762499999999994,0.4281999999999999
6,MPP,173.0,-0.002308,8.497e-05,2.943e-07,0.0,0.0,0.0026762499999999994,0.4629912499999999
7,MPP,200.0,-0.002528,9.211e-05,3.601e-07,0.0,0.0,0.0029777500000000004,0.59555
8,MPP,300.0,-0.002528,9.211e-05,3.601e-07,0.0,0.0,0.0029777500000000004,0.8933250000000001
9,MPP,550.0,-0.01309,0.0004716,2.086e-06,0.0,0.0,0.015705,8.63775
10,High Flux,14.0,-0.0025,9.67e-05,5.56e-08,0.0,0.0,0.0024739999999999996,0.03463599999999999
11,High Flux,26.0,-0.0033,0.000129,3.8e-08,0.0,0.0,0.003244999999999999,0.08436999999999997
12,High Flux,60.0,-0.0044,0.000174,4.09e-08,0.0,0.0,0.004402249999999999,0.26413499999999995
13,High Flux,125.0,-0.006,0.00024,3.22e-08,0.0,0.0,0.0060805,0.7600625
14,High Flux,147.0,-0.0079,0.000314,7.31e-08,0.0,0.0,0.007982749999999999,1.1734642499999999
15,High Flux,160.0,-0.0092,0.000367,1.75e-08,0.0,0.0,0.009193749999999999,1.4709999999999999
16,Edge,26.0,-0.0015314999999999999,6.0535e-05,7.220249999999999e-08,-6.6235e-10,1.2500150000000001e-12,0.0016007750937499998,0.256124015
17,Edge,60.0,-0.0021336000000000003,8.1924e-05,1.6427999999999999e-07,-1.242e-09,2.9376e-12,0.002236409999999999,0.35782559999999985
18,Kool Mµ Hƒ,26.0,-0.002268,0.0001373,-2.055e-06,1.755e-09,1.316e-11,-0.00023887499999999931,-0.03821999999999989
