,input,output
0,2700,0.8650000000000001
1,2800,0.905
2,2900,1.065
3,3000,1.255
4,3100,1.455
5,3200,1.645
6,3300,1.8399999999999999
7,3400,2.1
8,3500,2.635
9,3600,3.34
10,3700,4.05
11,3800,4.875
12,3900,5.725
13,4000,6.615
14,4100,7.5
15,4200,8.44
16,4300,9.379999999999999
17,4400,10.32
18,4500,11.265
19,4600,12.2
20,4700,13.145
21,4800,14.5
22,4900,17.625
23,5000,22.0
24,5100,25.0
25,5200,28.275
26,5300,32.35
27,5400,36.425
28,5500,40.5
29,5600,44.5
30,5700,49.144999999999996
31,5800,53.785
32,5900,58.43
33,6000,63.07
34,6100,67.715
35,6200,73.35499999999999
36,6300,81.0
37,6400,87.33500000000001
38,6500,93.66499999999999
39,6600,100.0
